searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2021 Panini NFL Chronicles Draft Picks Football Trading Card Fat Pack – Box of 12 Packs,https://streamline1175.github.io/130-Search-Results/2021_Panini_NFL_Chronicles_Draft_Picks_Football_Trading_Card_Fat_Pack_–_Box_of_12_Packs.html,5,44.0,94.1,74.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-776916f7-a7a7-49f4-bf60-0fb159b2271a
21 PANINI DONRUSS ELITE FOOTBALL FAT PACK,https://streamline1175.github.io/130-Search-Results/21_PANINI_DONRUSS_ELITE_FOOTBALL_FAT_PACK.html,8,34.99,77.0,57.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-37c7cb69-eae6-4706-b98c-8a6f87fabd18
2021 Panini NFL Score Football Trading Card Blaster Box,https://streamline1175.github.io/130-Search-Results/2021_Panini_NFL_Score_Football_Trading_Card_Blaster_Box.html,11,25.07,35.0,29.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-227776b6-3f88-410b-a6e3-f4521e64b1af
2021 Panini NFL Prizm Draft Picks Football Trading Card Blaster Box,https://streamline1175.github.io/130-Search-Results/2021_Panini_NFL_Prizm_Draft_Picks_Football_Trading_Card_Blaster_Box.html,11,18.99,58.0,33.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-451bb221-f64b-4607-b779-67d9f50a82e0
2021 Panini NFL Prizm Draft Picks Football Trading Card Blaster Box - 30 Cards,https://streamline1175.github.io/130-Search-Results/2021_Panini_NFL_Prizm_Draft_Picks_Football_Trading_Card_Blaster_Box_-_30_Cards.html,20,10.5,61.0,26.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6aecc0d9-e5bd-4211-a812-47fb7dd9209b
2021 Panini Soccer Mosaic UEFA Ecuro Soccer Trading Card Mega Box,https://streamline1175.github.io/130-Search-Results/2021_Panini_Soccer_Mosaic_UEFA_Ecuro_Soccer_Trading_Card_Mega_Box.html,6,19.5,71.0,39.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6faf58d6-b639-4737-a249-f8cd216d1514
2021 Panini NFL Contenders Draft Picks Trading Cards Blaster Box,https://streamline1175.github.io/130-Search-Results/2021_Panini_NFL_Contenders_Draft_Picks_Trading_Cards_Blaster_Box.html,11,14.5,41.99,22.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-92cffa3e-f187-437e-b5c2-78ab0e1dfba6
Total,https://streamline1175.github.io/130-Search-Results/Total.html,2,20.0,48.69,34.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e6f4f3c-1b2e-494d-857b-de38d69b4b40
