searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Psychonauts 2 Collector's Edition,45,32.0,149.0,59.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7108ae90-6103-4d51-abdc-c042bbed64e4
Psychonauts 2 Vinyl Soundtrack - Essential Edition 2xLP,20,54.0,179.0,84.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-973a6f2f-9cc1-48f9-8713-bdfaa10499e2
Psychonauts 2 - 6xLP Complete Edition Box Set,8,34.99,142.5,66.87,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-735e59b4-0af0-432c-8dda-1234bc02d9c9
Elegorgon Statue - iam8bit Exclusive Colorway,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c30fa58d-3a06-46e1-b972-bed9878a7c5f
Tell Me Why Vinyl Soundtrack,6,11.31,27.2,20.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-04081eb1-1e57-4aa9-a7a1-a40c3fa432ee
DUSTBITERS,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5146206-1973-42b5-bfb6-40b19e7f16ff
A Monster's Expedition + Earlier Adventures (Nintendo Switch Physical Edition),0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7932833c-246d-41ac-9ef0-347400e0d3dc
A Monster's Expedition + Earlier Adventures 2xLP Vinyl Soundtrack,1,44.99,44.99,44.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85bee471-c40a-481c-aec1-d33ff4614096
The Muppet Movie Vinyl Soundtrack,20,17.95,64.08,33.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-028301db-f1ae-488c-bc49-b586da639c2a
Eastward 2xLP Vinyl Soundtrack,40,39.99,120.0,63.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3fea590c-6c4c-4486-a2e9-287101bef3ac
Eastward Exclusive Collector’s Edition (Nintendo Switch),0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-10e42dd1-b245-4328-b67d-9a93e2e8b501
Diablo II: Resurrected 2xLP Vinyl Soundtrack,3,58.95,69.98,64.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5d60b195-e4fa-4cb2-a397-12a80cdf8c0e
Diablo II: Resurrected Deluxe Box Set - iam8bit Exclusive Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85b2855b-0035-4ec2-baf5-9bfda6617598
Journey Vinyl Soundtrack 2xLP (10th Anniversary Edition),0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-494f5cc1-716d-4d7f-96eb-dbabde6d9815
Big Bang: Music from the Universe of Genesis Noir 2xLP,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9dfdac48-d588-4623-9efd-c2bdef9a510d
The Cuphead Show! Devil May Care Screen Print,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-104d1355-9aba-45aa-b353-ef17eea1c454
The Cuphead Show! Premium Character Pins,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-feaaaeb8-b109-4961-bc95-f840f924fe5c
Turnip Boy Commits Tax Evasion Vinyl Soundtrack,36,14.99,30.95,23.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-84cce1d5-e23d-4c8e-b0d7-2c3b511b57a1
The Muppet Christmas Carol - Vinyl Soundtrack,15,45.0,54.99,49.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-11e02159-a312-4266-97b8-5d3074ca8bf6
Gimmick! CD,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1aabb6a5-2eb2-4663-a6b0-8d7c80e82367
198X Vinyl Soundtrack,31,22.95,95.0,46.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6aa42f7e-9d8e-482d-bfba-80d0cd1bbdc1
Kentucky Route Zero 2xLP Vinyl Soundtrack,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e48b48c-1948-48d4-995c-faa0d608921f
Junebug: Too Late To Love You 1xLP,1,19.99,19.99,19.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85fae85d-d075-4161-bc19-66d8fd360874
Grim Fandango PS4 Physical Game,22,34.97,58.62,41.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b4f87adf-0ad2-4c40-a56b-78394e2f6080
Kentucky Route Zero: TV Edition PS4 Physical Game,14,69.99,99.99,79.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-062b2a74-a1ba-4fa6-a663-0456ec4f17f1
Wattam Lanyard,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e2c82fb1-ab2c-479c-ae93-f897fe49abc3
Wattam 2xLP Vinyl Soundtrack: Mattaw,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b0db70f5-6ceb-4bfb-a81f-ef990d9844db
INSIDE PS4 Physical Game,5,33.14,77.0,51.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-409d59d6-174d-4672-bcb2-7a841de2702a
Space Channel 5 20th Anniversary GyunGyun Selection,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f854f3dd-c78f-46ef-bd7a-cdb58a60e361
The Lion King - Legacy Cartridge Collection,50,4.99,19.99,10.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1590ae18-6628-4e37-9f0d-113e7a8cce29
Aladdin - Legacy Cartridge Collection,28,47.5,164.98,95.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e3bede32-bef5-4da8-b985-933e837a7260
League of Legends: Selected Orchestral Works,2,100.0,119.0,109.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d44ca445-ec81-4605-875b-91df1b4766c8
Sayonara Wild Hearts (PlayStation 4 Physical Edition),1,10.0,10.0,10.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-95f56531-9f4e-4a79-bbcd-c58f13fec12c
Sayonara Wild Hearts 2xLP Vinyl,23,59.99,203.0,91.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9fdd1b20-5269-4324-aeea-34ab326a29da
DAEMON X MACHINA Original Soundtrack (CD),2,40.0,42.0,41.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f1a2bf77-bd5f-48f4-9fe3-f633f7b53e47
Supergiant: the 10th Anniversary Collection,13,13.98,104.17,34.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-359be877-4ad6-4c49-acbc-c14bc12b0074
Turtles in Time: Spinning Turtle Pin,1,45.0,45.0,45.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6935650c-b5ee-4a47-9c67-d7d37b4b4d96
Turtles in Time: Shred Head TV Pin,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3a85c33e-9994-4264-915a-1077c5fbbc08
Teenage Mutant Ninja Turtles: Turtles in Time Vinyl Soundtrack,15,39.99,102.5,63.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4ebfbcbd-86e1-471c-93dd-f528d368ac7a
Gris 2xLP Vinyl Soundtrack,37,49.99,125.0,75.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ee976521-ee49-4386-b974-3ca12229d366
Banner Saga 3 Vinyl Soundtrack 2xLP,18,39.95,114.95,55.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-94cacd97-3168-49f7-a650-1f03e22ba448
The Messenger 2xLP,54,9.27,150.0,33.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d9ea658f-b5d9-4d68-a98d-7a3d636cee46
DJ Sona: Ultimate Concert Vinyl,14,31.42,90.0,56.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-17cb626d-cb71-4b3b-9135-9e38a65da82d
