searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Star Birth Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Star_Birth_Japanese_Booster_Box.html,19,75.99,135.29,94.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ab5b0d2e-c46e-4770-94a8-e6fe9df84c03
VMAX Climax Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Climax_Japanese_Booster_Box.html,19,119.65,323.8,147.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-59741c3b-c6ad-4297-af5f-230a93a5cc21
25th Anniversary Collection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/25th_Anniversary_Collection_Japanese_Booster_Box.html,24,83.33,179.8,118.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a8179471-4865-4b5f-8f49-c4adb5b856a3
Fusion Arts Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Fusion_Arts_Japanese_Booster_Box.html,11,119.95,225.0,140.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b6d917ed-9513-4f9e-b2fe-af800fe7e64b
Blue Sky Stream Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Blue_Sky_Stream_Japanese_Booster_Box.html,29,350.0,499.0,413.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-69fcf415-0db5-42dd-bdba-cf2bf3d5f275
Skyscraping Perfection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Skyscraping_Perfection_Japanese_Booster_Box.html,58,4.99,1042.0,174.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8cf068a4-5625-4565-93d6-98270fa5a1b2
Eevee Heroes Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Eevee_Heroes_Japanese_Booster_Box.html,30,415.0,588.23,450.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5136995-bca1-4d1c-9559-24adcefb7c8e
Jet Black Spirit Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Jet_Black_Spirit_Japanese_Booster_Box.html,8,109.25,252.0,158.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7a939de9-aa89-4206-baeb-f48cbf19d5bd
Silver Lance Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Silver_Lance_Japanese_Booster_Box.html,9,81.86,210.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b927b6b2-a867-4a19-a952-60b48971a3fa
Peerless Fighters Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Peerless_Fighters_Japanese_Booster_Box.html,51,5.5,560.0,162.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a3dcd11c-6e4a-44e1-957f-6c32390e0c84
