searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Star Birth Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Star_Birth_Japanese_Booster_Box.html,19,75.99,135.29,94.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-176e7dbc-99aa-49dd-b89d-2428e723443f
VMAX Climax Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Climax_Japanese_Booster_Box.html,20,119.65,323.8,146.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c28c9e16-ca61-49af-8d8b-ea2f7986e87f
25th Anniversary Collection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/25th_Anniversary_Collection_Japanese_Booster_Box.html,23,83.33,179.8,118.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b2d8fd13-f0a4-4e56-88a0-527cc867ecae
Fusion Arts Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Fusion_Arts_Japanese_Booster_Box.html,11,119.95,225.0,140.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ac3b7242-eed6-4120-b7db-a0012d2b88bd
Blue Sky Stream Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Blue_Sky_Stream_Japanese_Booster_Box.html,29,350.0,499.0,413.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6b9fb7f0-dc20-4a1b-9f28-8cd3f8c8ebbc
Skyscraping Perfection Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Skyscraping_Perfection_Japanese_Booster_Box.html,57,4.99,1042.0,174.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0ebb9cf8-e76d-4010-a596-c1bf78c0894a
Eevee Heroes Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Eevee_Heroes_Japanese_Booster_Box.html,30,415.0,588.23,451.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53cbdab5-ddb1-4ef3-9c5d-e6df05d6e5f8
Jet Black Spirit Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Jet_Black_Spirit_Japanese_Booster_Box.html,14,66.0,252.0,125.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-efcc4aa8-e9f0-43c9-aa3d-1d7b2c835b9f
Silver Lance Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Silver_Lance_Japanese_Booster_Box.html,9,81.86,210.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-39dfcdd2-5d7e-4b3c-bd74-4aa35b1f6a1e
Peerless Fighters Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Peerless_Fighters_Japanese_Booster_Box.html,51,5.5,1105.0,182.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6ab596fe-9065-476c-a3ff-2a4692304ebf
