searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Aliens – Original Motion Picture Soundtrack 2XLP James Horner,7,2024-04-22,25.95,53.99,38.34,$35.00,$-1.26,$39.78,https://quickchart.io/chart/render/sf-06595206-7e3b-42c3-b768-b73b8dfecfa5
All Monsters Attack Soft Vinyl Figure Set Mondo,1,2024-04-05,56.95,56.95,56.95,$240.00,$-189.88,$272.73,https://quickchart.io/chart/render/sf-6d319885-d0ed-4fa3-8ba7-ac6f8d7e6684
ANOMALISA – Original Motion Picture Soundtrack LP Carter Burwell,5,2024-04-22,9.74,42.99,18.62,$30.00,$-13.61,$34.10,https://quickchart.io/chart/render/sf-9cb80c02-b7bb-4f57-a087-4875c7ee61e6
Ant-Man Enamel Pin Tom Whalen,21,2024-04-20,19.9,80.0,39.5,$10.00,$24.76,$11.36,https://quickchart.io/chart/render/sf-c2c9e3a2-ed7b-4fb2-abb5-fb2928b0b8b0
Ant-Man Enamel Pin Tom Whalen,21,2024-04-20,19.9,80.0,39.5,$10.00,$24.76,$11.36,https://quickchart.io/chart/render/sf-2bc5028e-6b11-4e6a-a92f-0996382f87fa
Anti-Eternia He-Man 1/6 Scale Limited Edition Variant Mondo,16,2024-04-24,304.0,728.43,464.53,$235.00,$173.79,$267.04,https://quickchart.io/chart/render/sf-a431179b-20c4-4b58-a7a7-3d55afe24780
Apocalypse Enamel Pin Tom Whalen,21,2024-04-20,19.9,80.0,41.02,$10.00,$26.10,$11.36,https://quickchart.io/chart/render/sf-99653eb6-9d32-4394-86e8-44b75bd9a2a8
Archangel Enamel Pin Tom Whalen,20,2024-04-20,19.9,150.0,41.93,$10.00,$26.90,$11.36,https://quickchart.io/chart/render/sf-ddf3b1f9-467d-4180-9b58-4830a42c2250
Army Of Darkness Original Motion Picture Soundtrack 2XLP Joe LoDuca,20,2024-04-10,69.99,125.0,88.04,$35.00,$42.48,$39.77,https://quickchart.io/chart/render/sf-36af391d-aa42-43f0-ad52-791f6ce9e6ee
Art of Mana Dark Horse Books,10,2024-04-16,22.5,80.0,43.74,$29.99,$8.50,$34.07,https://quickchart.io/chart/render/sf-423c1e43-3bd8-49f0-8ee1-8ac2465a773b
Atomic Blonde – Original Motion Picture Soundtrack 2XLP Various Artists,19,2024-04-24,6.16,23.99,10.7,$35.00,$-25.58,$39.78,https://quickchart.io/chart/render/sf-00b265a2-c3e3-4a8d-b691-f6447908e5cd
Avengers: Endgame - Original Motion Picture Soundtrack 3XLP Alan Silvestri,11,2024-04-18,11.38,42.86,20.88,$45.00,$-26.63,$51.14,https://quickchart.io/chart/render/sf-c8a86614-43c0-4729-8550-7177a329ff01
BABii – HiiDE CD Mondo,3,2024-03-17,15.5,56.0,39.17,$10.00,$24.47,$11.36,https://quickchart.io/chart/render/sf-8dd84395-279c-41ba-997f-01f48735270b
Baby Groot Enamel Pin Tom Whalen,20,2024-04-20,19.9,150.0,43.43,$10.00,$28.22,$11.36,https://quickchart.io/chart/render/sf-a8be1747-08df-4d95-806d-ef9620296a83
Back To The Future - Music From The Motion Picture LP Various Artists,7,2024-04-18,19.99,41.99,30.43,$25.00,$1.78,$28.40,https://quickchart.io/chart/render/sf-2b13d660-1177-4fff-a085-59b4310efca1
Back to the Future Clock Warp T-Shirt La Boca,8,2024-04-15,10.0,19.99,14.45,$30.00,$-17.28,$34.10,https://quickchart.io/chart/render/sf-a76c40e2-cba8-4e40-bd85-a4fa7acffa45
Back to the Future Hoverboard T-Shirt La Boca,8,2024-04-15,11.88,18.74,14.82,$30.00,$-16.96,$34.10,https://quickchart.io/chart/render/sf-a159d8b9-2034-4591-a4f1-a2c43dd58954
Back to the Future MondoVision Pin Badge La Boca,8,2024-04-17,4.91,8.95,6.72,$10.00,$-4.09,$11.37,https://quickchart.io/chart/render/sf-3344194c-3d3f-4f5e-ba32-8a3109df132a
Back To The Future Part II – Original Score 2XLP Alan Silvestri,7,2024-04-15,25.0,69.99,37.92,$35.00,$-1.63,$39.78,https://quickchart.io/chart/render/sf-fdb48620-1a8c-4d7f-86f2-8c85f2aa8790
