searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbie pink collection doll 4 hbx96,8,2024-05-13,115.0,199.99,161.55,$125.00,$17.16,$142.04,https://quickchart.io/chart/render/sf-22d6c1f2-1ea4-46b5-a813-ef77033000fd
volkswagen t1 rockster glh76,18,2024-05-12,59.99,119.99,76.16,$24.99,$42.03,$28.39,https://quickchart.io/chart/render/sf-63076dec-978e-4e01-a2fa-be61cc5df237
rlc exclusive 1990 chevy 454 ss hgk80,15,2024-05-26,69.95,85.0,75.08,$25.00,$41.07,$28.40,https://quickchart.io/chart/render/sf-059e6d23-01c3-4f08-bad7-dbf466e53460
monster high haunt couture frankie stein doll hgk12,21,2024-05-27,89.99,245.99,125.22,$75.00,$35.19,$85.22,https://quickchart.io/chart/render/sf-3adbea02-8c58-47e8-9b02-cf62f8ec908f
rlc exclusive 70s dodge tradesman van hgk78,14,2024-05-25,72.99,89.99,78.25,$35.00,$33.86,$39.77,https://quickchart.io/chart/render/sf-4b600fcd-ac24-48de-bc8c-cd068a4df9d7
barbie barbiestyle doll gtj82,15,2024-05-27,109.99,382.03,257.46,$100.00,$126.56,$113.63,https://quickchart.io/chart/render/sf-5cae952b-8a0a-46c8-a030-1a6277ac61aa
2023 dia de muertos barbie x pink magnolia doll hjx16,16,2024-05-21,200.0,275.0,233.81,$100.00,$105.75,$113.63,https://quickchart.io/chart/render/sf-f40123ed-5122-4798-9c05-36976f8286e4
barbie after 5 silkstone doll hby14,7,2024-05-24,149.84,195.0,164.97,$75.00,$70.17,$85.22,https://quickchart.io/chart/render/sf-e075afd2-cf35-4191-8a02-5e20ffdb2eb0
masters of the universe origins rokkon action figure htm93,17,2024-05-25,35.99,49.99,43.25,$20.00,$18.06,$22.72,https://quickchart.io/chart/render/sf-be05b57a-e980-4944-99bb-fa139d0a2a16
masters of the universe origins kol darr action figure hdy26,15,2024-05-26,88.95,144.95,99.99,$17.00,$70.99,$19.31,https://quickchart.io/chart/render/sf-967fc99b-7896-4bb5-b64d-5351d6787ff8
jurassic world hammond collection gallimimus figure hfg58,20,2024-05-27,41.0,129.99,67.25,$15.00,$44.18,$17.04,https://quickchart.io/chart/render/sf-41d996a3-9f1b-4acd-971d-e068ab277179
barbie music series stevie nicks doll hmv00,13,2024-05-26,224.99,305.0,260.11,$55.00,$173.90,$62.49,https://quickchart.io/chart/render/sf-e653a741-59c8-4e07-a8f1-3b7a60e2cad2
