searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2022 car culture mix 5 jay lenos garage case pack hff45,https://streamline1175.github.io/130-Search-Results/2022_car_culture_mix_5_jay_lenos_garage_case_pack_hff45.html,5,19.99,39.98,26.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34d59bd6-69c0-418e-a7ce-78bcd0f0bd7b
2022 dia de muertos benito santos barbie doll hby01,https://streamline1175.github.io/130-Search-Results/2022_dia_de_muertos_benito_santos_barbie_doll_hby01.html,19,375.0,949.99,479.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-66c75bcb-97b1-4048-860c-fe5fa937dd32
2022 holiday barbie doll hby06,https://streamline1175.github.io/130-Search-Results/2022_holiday_barbie_doll_hby06.html,31,22.99,59.99,39.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a9b840c8-3ea6-4522-9215-cb1280fc68e7
2022 holiday barbie doll hcc05,https://streamline1175.github.io/130-Search-Results/2022_holiday_barbie_doll_hcc05.html,29,24.99,59.99,37.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eed29f53-cc4e-4075-9e06-ea5018575318
2022 holiday barbie doll hby07,https://streamline1175.github.io/130-Search-Results/2022_holiday_barbie_doll_hby07.html,32,24.99,64.71,39.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6e410299-71e1-4379-9db8-cb34baa08455
2022 holiday barbie doll hby08,https://streamline1175.github.io/130-Search-Results/2022_holiday_barbie_doll_hby08.html,32,22.99,59.99,37.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-005e7501-b2b9-45d8-8d42-951095c1f5ac
2022 hot wheels car culture mix 1 american scene case pack hff44,https://streamline1175.github.io/130-Search-Results/2022_hot_wheels_car_culture_mix_1_american_scene_case_pack_hff44.html,15,6.65,20.0,11.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ef37d1c-63af-449c-bbf8-af355182d7d9
2022 hot wheels car culture mix 2 deutschland design case pack hff41,https://streamline1175.github.io/130-Search-Results/2022_hot_wheels_car_culture_mix_2_deutschland_design_case_pack_hff41.html,7,19.49,61.0,36.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-579b22ea-b1e3-489d-869e-f62f099e2119
2022 car culture mix 3 mountain drifters case pack hff43,https://streamline1175.github.io/130-Search-Results/2022_car_culture_mix_3_mountain_drifters_case_pack_hff43.html,3,30.0,50.0,37.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f4b57ea3-3049-48c1-91e9-072cb53e6b90
hot wheels premium car culture speed machines 5 pack of toy cars hhf42,https://streamline1175.github.io/130-Search-Results/hot_wheels_premium_car_culture_speed_machines_5_pack_of_toy_cars_hhf42.html,14,17.0,72.5,35.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4dd6f2f0-526c-4c75-8aaf-e1779047abcf
2022 ken dia de muertos doll hby10,https://streamline1175.github.io/130-Search-Results/2022_ken_dia_de_muertos_doll_hby10.html,37,43.0,139.99,73.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f2b4b6b8-272c-4bb9-b656-118f6570be30
2022 matchbox working rigs 4 pack hcc07,https://streamline1175.github.io/130-Search-Results/2022_matchbox_working_rigs_4_pack_hcc07.html,6,11.99,24.77,18.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0fa4dee0-4c8d-4534-ac25-f6f85598b16a
2022 premium collector set 1 classic pickups gmh39,https://streamline1175.github.io/130-Search-Results/2022_premium_collector_set_1_classic_pickups_gmh39.html,12,40.0,127.5,70.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2162ea93-bd60-46c5-b44f-24ffdc2b75bd
2022 premium collector set 2 exotic hypercars gmh39k,https://streamline1175.github.io/130-Search-Results/2022_premium_collector_set_2_exotic_hypercars_gmh39k.html,5,20.0,42.0,28.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5c3182b2-d55c-4698-bd0e-5337f08ef4db
2022 premium collector set 3 bmw m team gmh39l,https://streamline1175.github.io/130-Search-Results/2022_premium_collector_set_3_bmw_m_team_gmh39l.html,15,25.0,59.33,36.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ae98d24c-d90e-42ef-b93e-457622714485
2022 rlc membership 72 nissan skyline h t 2000 gt r,https://streamline1175.github.io/130-Search-Results/2022_rlc_membership_72_nissan_skyline_h_t_2000_gt_r.html,15,34.99,59.99,43.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-41d82d79-8bff-454a-82df-40c4bb875d67
barbie birthday wishes doll hjx02,https://streamline1175.github.io/130-Search-Results/barbie_birthday_wishes_doll_hjx02.html,32,25.0,100.0,45.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-04f6c3bc-d7f2-41c8-8596-119c47fa7ccf
2023 barbie lunar new year doll hjx35,https://streamline1175.github.io/130-Search-Results/2023_barbie_lunar_new_year_doll_hjx35.html,9,69.99,99.88,79.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0623b879-4698-46d0-9f45-fde9297c8dc8
2023 barbie lunar new year doll designed by guo pei hjx03,https://streamline1175.github.io/130-Search-Results/2023_barbie_lunar_new_year_doll_designed_by_guo_pei_hjx03.html,15,79.99,139.99,100.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-56ff9d1b-6795-4f7f-84e5-b970be17f31f
2023 dia de muertos barbie doll hjx14,https://streamline1175.github.io/130-Search-Results/2023_dia_de_muertos_barbie_doll_hjx14.html,20,89.99,310.0,220.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-03666152-4e8f-4ce7-9d3f-e27a242f80c8
2023 dia de muertos barbie x pink magnolia doll hjx16,https://streamline1175.github.io/130-Search-Results/2023_dia_de_muertos_barbie_x_pink_magnolia_doll_hjx16.html,15,224.99,499.99,267.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2121812-1b7e-4568-b05b-43cc2c4f06ad
2023 dia de muertos ken doll hjx15,https://streamline1175.github.io/130-Search-Results/2023_dia_de_muertos_ken_doll_hjx15.html,15,44.99,150.0,74.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1670eb77-bdf3-4d6a-8dec-9280f567ec72
2023 holiday barbie doll hjx09,https://streamline1175.github.io/130-Search-Results/2023_holiday_barbie_doll_hjx09.html,43,43.99,95.0,58.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0f51abf7-dccf-4914-9383-406e19a10332
2023 holiday barbie doll hjx11,https://streamline1175.github.io/130-Search-Results/2023_holiday_barbie_doll_hjx11.html,36,43.0,130.0,67.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70826242-8ddf-4bfd-80ed-910581d06f18
2023 holiday barbie doll hjx08,https://streamline1175.github.io/130-Search-Results/2023_holiday_barbie_doll_hjx08.html,39,44.95,130.0,66.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5a902411-43e1-40ff-b324-2fc52c86a1a8
2023 holiday barbie doll hjx10,https://streamline1175.github.io/130-Search-Results/2023_holiday_barbie_doll_hjx10.html,40,42.0,130.0,67.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-58a6c3be-c671-470f-96d6-65b5f91861ea
2023 rlc membership 93 ford cobra r hwrlc2023,https://streamline1175.github.io/130-Search-Results/2023_rlc_membership_93_ford_cobra_r_hwrlc2023.html,30,26.62,45.0,31.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-119e6980-62b4-4713-9543-07de936da845
2023 rlc membership 93 ford cobra r hnl15,https://streamline1175.github.io/130-Search-Results/2023_rlc_membership_93_ford_cobra_r_hnl15.html,34,20.0,42.0,30.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1987fdb2-7c98-40b5-8ca2-0921fb1db268
2023 12 days of christmas barbie doll hjx13,https://streamline1175.github.io/130-Search-Results/2023_12_days_of_christmas_barbie_doll_hjx13.html,9,130.0,224.99,180.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb30ab18-1d08-4bd0-9936-0167347efd89
2024 barbie lunar new year doll hrm57,https://streamline1175.github.io/130-Search-Results/2024_barbie_lunar_new_year_doll_hrm57.html,8,64.5,110.39,75.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5730b912-1d51-45a6-96a8-4e339a7762eb
55 chevy panel hrx25,https://streamline1175.github.io/130-Search-Results/55_chevy_panel_hrx25.html,28,22.99,90.0,61.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-13fd7359-caf9-481f-9c0f-4bf02a732e79
60th anniversary allan vintage reproduction doll hrm87,https://streamline1175.github.io/130-Search-Results/60th_anniversary_allan_vintage_reproduction_doll_hrm87.html,17,83.94,110.0,92.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-120e0df1-b157-483d-9c2f-e614f9dfda20
60th anniversary midge vintage reproduction doll hjx25,https://streamline1175.github.io/130-Search-Results/60th_anniversary_midge_vintage_reproduction_doll_hjx25.html,13,75.0,128.73,95.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6033c66c-49c7-47cb-9592-b1f546820c36
64 gmc panel hxn07,https://streamline1175.github.io/130-Search-Results/64_gmc_panel_hxn07.html,27,19.99,99.99,56.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f3a78e2a-6aa1-4427-838e-b46684ff85b2
69 chevelle ss 396 hww87,https://streamline1175.github.io/130-Search-Results/69_chevelle_ss_396_hww87.html,58,1.75,78.95,19.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e1ae885-d174-4423-8206-b663a4d20f62
70 dodge power wagon hww90,https://streamline1175.github.io/130-Search-Results/70_dodge_power_wagon_hww90.html,27,6.0,35.99,15.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0990dd27-a1d3-4b91-94f0-0886ba0414a8
78 porsche 935 78 hww86,https://streamline1175.github.io/130-Search-Results/78_porsche_935_78_hww86.html,45,99.98,179.99,137.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7741c146-f151-47de-bddc-7bcb15f6ccde
9th annual hot wheels collectors nationals nitty gritty kitty p2200,https://streamline1175.github.io/130-Search-Results/9th_annual_hot_wheels_collectors_nationals_nitty_gritty_kitty_p2200.html,12,19.99,55.0,33.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8c402f87-27e1-4ae0-9d03-e6f4f5815407
barbiestyle barbie and ken doll 2 pack hjw88,https://streamline1175.github.io/130-Search-Results/barbiestyle_barbie_and_ken_doll_2_pack_hjw88.html,13,85.0,189.38,134.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82c66299-f602-4e18-9302-4ec649d35d0f
barbiestyle fashion pack spring date hjx33,https://streamline1175.github.io/130-Search-Results/barbiestyle_fashion_pack_spring_date_hjx33.html,5,27.85,65.0,39.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b7d9c99d-a845-4be3-8959-f6da4a17733e
barbiestyle fashion pack urban chic hjw95,https://streamline1175.github.io/130-Search-Results/barbiestyle_fashion_pack_urban_chic_hjw95.html,6,48.0,65.0,52.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d629dc08-95cf-47c4-9cda-1494463845f1
barbiestyle fashion studio doll set hbx98,https://streamline1175.github.io/130-Search-Results/barbiestyle_fashion_studio_doll_set_hbx98.html,5,129.99,199.99,156.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0fd35e98-3dd5-4232-99e1-76a65eae9054
acceleracers redeemable hvx88,https://streamline1175.github.io/130-Search-Results/acceleracers_redeemable_hvx88.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9a64df09-74c0-4fbf-92ff-0b7aa058b2bc
aleali may barbie wardrobe accessories set hhg48,https://streamline1175.github.io/130-Search-Results/aleali_may_barbie_wardrobe_accessories_set_hhg48.html,3,49.99,70.0,56.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d1d02012-61e7-4842-aacc-386a68cd7f95
barbie confidence is your best accessory charm bangle gxg22,https://streamline1175.github.io/130-Search-Results/barbie_confidence_is_your_best_accessory_charm_bangle_gxg22.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e3ba0d9-9648-4ea7-9acc-192cd55bbe2e
barbie duo charm bangle gxg18,https://streamline1175.github.io/130-Search-Results/barbie_duo_charm_bangle_gxg18.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23df29fd-325c-4410-8aaa-e73c0c3d7a26
barbie name plate pull chain bracelet gxg21,https://streamline1175.github.io/130-Search-Results/barbie_name_plate_pull_chain_bracelet_gxg21.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5f36250a-b6bc-443e-a1d3-4bbabf48fdd4
barbie trio charm bangle gxg20,https://streamline1175.github.io/130-Search-Results/barbie_trio_charm_bangle_gxg20.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-51547c84-cad5-43ea-88fe-dab1d6e8f0ff
alex morgan barbie doll ght49,https://streamline1175.github.io/130-Search-Results/alex_morgan_barbie_doll_ght49.html,9,10.0,37.88,19.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-78e1e111-027d-4fa8-964c-0bf0734d4aee
annabelle monster high skullector doll hnd85,https://streamline1175.github.io/130-Search-Results/annabelle_monster_high_skullector_doll_hnd85.html,7,90.0,143.79,110.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-507ff6b4-2a8f-4c31-ae60-019142c17e81
art of engineering barbie print hcy98,https://streamline1175.github.io/130-Search-Results/art_of_engineering_barbie_print_hcy98.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a6dcac0f-7f03-4bf8-86f7-79295e3e7d2c
art of engineering hot wheels print hdb00,https://streamline1175.github.io/130-Search-Results/art_of_engineering_hot_wheels_print_hdb00.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c96de8f6-7500-4fdc-a55b-3f7104821d67
art of engineering magic 8 ball print hcy99,https://streamline1175.github.io/130-Search-Results/art_of_engineering_magic_8_ball_print_hcy99.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b81f8dd9-a216-4dd3-8edd-2df7bf9201f7
art of engineering skeletor print hdb01,https://streamline1175.github.io/130-Search-Results/art_of_engineering_skeletor_print_hdb01.html,2,229.99,249.0,239.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d86e3040-1bc2-4514-acdc-7d56e39e517c
mega pokemon ash pikachu path to victory building htj05,https://streamline1175.github.io/130-Search-Results/mega_pokemon_ash_pikachu_path_to_victory_building_htj05.html,4,190.0,270.99,225.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b7e6939-3705-44a6-b595-0a835d01aa2b
aston martin valhalla concept hww84,https://streamline1175.github.io/130-Search-Results/aston_martin_valhalla_concept_hww84.html,30,25.0,69.99,46.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-685b3b89-c571-4654-ba37-b6b8e75875bc
aston martin vulcan hrx24,https://streamline1175.github.io/130-Search-Results/aston_martin_vulcan_hrx24.html,27,12.99,79.99,42.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71679da3-245e-4d5d-91f2-bf95a02e63a7
back in action major matt mason big jim pulsar figures gyw83,https://streamline1175.github.io/130-Search-Results/back_in_action_major_matt_mason_big_jim_pulsar_figures_gyw83.html,8,45.0,64.99,55.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-960ed852-2d7b-4730-b9c0-9e178748d610
bad robot plush collectible hnv11,https://streamline1175.github.io/130-Search-Results/bad_robot_plush_collectible_hnv11.html,8,50.0,144.0,70.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88162ba2-cb35-4910-bf72-9d78923d598f
bad robot premium action figure hjg24,https://streamline1175.github.io/130-Search-Results/bad_robot_premium_action_figure_hjg24.html,13,105.0,140.0,124.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-65176890-236e-41ab-af3e-4895b795734b
