searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
nvidia rtx 4090 FE,https://streamline1175.github.io/130-Search-Results/nvidia_rtx_4090_FE.html,46,2025.0,2497.0,2138.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e33e9b2c-eb73-44e2-8ba4-9187b3cca238
pokemon japanese eevee heroes booster box -card -cards -pack -packs,https://streamline1175.github.io/130-Search-Results/pokemon_japanese_eevee_heroes_booster_box_-card_-cards_-pack_-packs.html,44,355.0,800.0,463.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0665cfb-ddac-46ed-b011-a7d69c8beced
dyson hair dryer,https://streamline1175.github.io/130-Search-Results/dyson_hair_dryer.html,33,149.99,466.22,259.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-29a1bd36-9993-492a-89db-7b9655d9bc27
pikmin 4 nintendo switch,https://streamline1175.github.io/130-Search-Results/pikmin_4_nintendo_switch.html,50,40.0,96.95,48.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ffb32dba-cb78-4d93-852d-f48920a162aa
freddy funko as han solo,https://streamline1175.github.io/130-Search-Results/freddy_funko_as_han_solo.html,11,54.99,129.0,70.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b79c5f07-25f9-4f4c-b6ee-117f5fbce2b6
hot wheels remote control car cybertruck,https://streamline1175.github.io/130-Search-Results/hot_wheels_remote_control_car_cybertruck.html,24,30.84,100.0,68.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d3ec85c-03f9-4108-b923-c85429e87352
