searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Fujifilm X Series X100VI Silver,22,2024-12-20,1899.0,2595.0,2046.0,$1599.99,$200.49,$1818.17,https://quickchart.io/chart/render/sf-2344f804-4c7f-47c6-9b7a-78bfbce380ef
Fujifilm X Series X100VI Black,16,2024-12-20,1912.79,2700.0,2080.57,$1599.99,$230.91,$1818.17,https://quickchart.io/chart/render/sf-da58fa43-2859-4472-9c64-13ed6050366e
Sony Cyber shot DSC RX100 V Black,26,2024-12-20,579.0,790.0,670.66,$999.99,$-409.81,$1136.36,https://quickchart.io/chart/render/sf-d63e1772-c264-4801-9c8e-e5a6f0b91789
Canon PowerShot SX740 HS Black,15,2024-12-20,612.6,884.95,702.41,$479.99,$138.13,$545.44,https://quickchart.io/chart/render/sf-d943bf4c-db5e-41be-98b9-7c898e138ab5
Canon PowerShot G7 X Mark II Black,8,2024-12-20,879.0,1150.0,1044.12,$749.99,$168.84,$852.26,https://quickchart.io/chart/render/sf-f8ac9dd0-ea8b-4788-af75-4a18e9eeb372
Canon PowerShot G7 X Mark III Black,20,2024-12-20,578.32,1439.95,1125.26,$799.99,$190.24,$909.07,https://quickchart.io/chart/render/sf-65587e23-2389-4eda-8808-697a7ead1ce4
Canon PowerShot ELPH 360 Black,13,2024-12-20,335.58,498.98,393.74,$329.99,$16.50,$374.98,https://quickchart.io/chart/render/sf-f60fe260-add0-4647-a9a2-36ef3f09b02b
Sony Cyber shot HX99 182 Black,19,2024-12-19,284.95,676.0,486.31,$474.99,$-47.04,$539.77,https://quickchart.io/chart/render/sf-6e6a3a48-7402-494d-85f9-5e5625cbb170
Nikon COOLPIX P1000 160 Black,15,2024-12-19,999.0,1699.0,1263.88,$1099.99,$12.22,$1249.98,https://quickchart.io/chart/render/sf-0287db5c-06a8-41b8-933b-0d060474e48e
