searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
nvidia rtx 4090 FE,https://streamline1175.github.io/130-Search-Results/,46,2025.0,2497.0,2138.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2897649f-ddc1-484c-bd5a-817e380cedd9
pokemon japanese eevee heroes booster box -card -cards -pack -packs,https://streamline1175.github.io/130-Search-Results/,44,355.0,800.0,463.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d565277a-e708-49d0-a7d1-ecc9b11b8c97
dyson hair dryer,https://streamline1175.github.io/130-Search-Results/,33,147.6,379.0,245.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eb8f9145-cfb4-4b1e-9ff0-65a912c879f9
pikmin 4 nintendo switch,https://streamline1175.github.io/130-Search-Results/,50,40.0,96.95,48.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0197c770-ed14-40de-96a5-2e9e459be25d
freddy funko as han solo,https://streamline1175.github.io/130-Search-Results/,11,54.99,129.0,70.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-28ef4790-caa9-40fc-9a09-23e2e8dde726
hot wheels remote control car cybertruck,https://streamline1175.github.io/130-Search-Results/,24,30.84,100.0,68.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d9fdbafd-3516-4fcb-aac3-a6f4e1002cf4
