searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
HYDE FALLOWEEN FEATHERLY FRIENDS GHOST BIRD FIGURINE,4,2024-03-14,24.99,39.99,30.24,$10.00,$16.61,$11.36,https://quickchart.io/chart/render/sf-67cfef43-50e0-4d95-b090-d7f39ac9b012
HYDE FALLOWEEN FEATHERLY FRIENDS SPIDER BIRD FIGURINE,7,2024-04-01,14.99,39.99,22.63,$10.00,$9.91,$11.36,https://quickchart.io/chart/render/sf-f87b6807-961b-4285-a6d9-3a073be67a3b
HYDE FALLOWEEN FEATHERLY FRIENDS VAMPIRE FIGURINE,3,2024-02-20,23.32,39.99,30.44,$10.00,$16.79,$11.36,https://quickchart.io/chart/render/sf-0ac55914-8da2-48e8-8b39-067e12ae3bee
HYDE HARVEST FEATHERLY FRIENDS OWL FIGURINE,9,2024-04-01,14.5,35.0,21.95,$10.00,$9.32,$11.36,https://quickchart.io/chart/render/sf-a54226f3-115b-4c9b-bdeb-55f6a20a6d38
HYDE MIDNIGHT RAVEN FEATHERLY FRIENDS BIRD HALLOWEEN FIGURINE,21,2024-04-11,14.99,75.0,26.19,$10.00,$13.05,$11.36,https://quickchart.io/chart/render/sf-e78076dd-1ab5-487f-80ae-d366cc67cec2
HYDE MIDNIGHT RAVEN FEATHERLY FRIENDS MONSTER BIRD FIGURINE,6,2024-04-01,14.99,22.75,17.74,$10.00,$5.61,$11.36,https://quickchart.io/chart/render/sf-2d749a7c-7d8f-4bef-ac73-31d52f2e97e7
LEGO HARRY POTTER ATTACK ON THE BURROW WEASLEY DOLLHOUSE,23,2024-04-22,109.75,144.0,132.52,$110.00,$6.62,$124.99,https://quickchart.io/chart/render/sf-a329802e-7abd-4bb3-88a3-1d4395c62f8f
LEGO HARRY POTTER FAWKES DUMBLEDORE 76394 KIT,22,2024-04-22,55.0,79.0,70.64,$60.00,$2.16,$68.18,https://quickchart.io/chart/render/sf-4319a234-cf11-4bed-b200-daeafb2b2238
LEGO HARRY POTTER HOGWARTS CHESS BUILDING KIT,24,2024-04-22,69.95,109.99,87.98,$60.00,$17.42,$68.18,https://quickchart.io/chart/render/sf-37ac15d6-b527-45f1-9ad4-2ce88deffa0f
LEGO HARRY POTTER HUNGARIAN HORNTAIL DRAGON 76406,14,2024-04-21,52.0,69.99,61.06,$50.00,$3.73,$56.81,https://quickchart.io/chart/render/sf-733f7938-7a06-4014-b019-8bce031ef0af
LEGO ICONS BOTANICAL COLLECTION BIRD OF PARADISE SET 10289,21,2024-04-22,135.5,184.88,153.75,$75.00,$60.30,$85.22,https://quickchart.io/chart/render/sf-aeaaf1aa-58ac-4af9-897f-b8408b98671d
LEGO JURASSIC PARK TREX BREAKOUT SET 76956,24,2024-04-17,99.99,154.0,124.39,$110.00,$-0.54,$125.00,https://quickchart.io/chart/render/sf-8e379492-78cf-4875-905d-a110c961c205
LEGO MARVEL NEW GUARDIANS SHIP SET 76255,17,2024-04-20,64.99,110.97,73.8,$200.00,$-135.06,$227.28,https://quickchart.io/chart/render/sf-64d7a02d-513c-4124-8c7d-243c112ca00b
LEGO MARVEL SPIDER MAN CARNAGE BUILDING KIT 76199,19,2024-04-22,70.0,99.99,88.9,$70.00,$8.23,$79.54,https://quickchart.io/chart/render/sf-42067787-a91d-499c-b765-6f1c17415c23
LEGO SPIDERMAN VENOM MASK 76187,25,2024-04-22,54.8,89.99,70.54,$75.00,$-12.92,$85.23,https://quickchart.io/chart/render/sf-62e77cb0-eecb-4b71-9c3a-560ad0883715
LEGO STAR WARS DEATH STAR TRENCH RUN DIORAMA SET 75329,21,2024-04-22,44.95,80.45,57.81,$40.00,$10.87,$45.45,https://quickchart.io/chart/render/sf-f0d7dc23-7084-48b5-ad8b-fcab6cee7c79
LEGO STAR WARS AMBUSH ON FERRIX ANDOR SERIES SET 75338,12,2024-04-01,58.99,91.19,67.59,$75.00,$-15.52,$85.23,https://quickchart.io/chart/render/sf-2677ad0b-0e15-4a94-81d0-107382df799e
LEGO STAR WARS BOBA FETT HELMET BUILDING KIT,21,2024-04-21,57.0,85.43,76.52,$65.00,$2.34,$73.86,https://quickchart.io/chart/render/sf-72655c33-8312-467b-975a-b6b9f8bdf755
LEGO STAR WARS DAGOBAH 75330 SET,24,2024-04-20,65.5,106.19,76.55,$60.00,$7.36,$68.18,https://quickchart.io/chart/render/sf-8e82ecf0-b305-4470-ac61-e61160f79cdc
LEGO STAR WARS DARK TROOPER HELMET SET 75343,11,2024-04-11,62.0,119.99,86.2,$60.00,$15.86,$68.18,https://quickchart.io/chart/render/sf-d0380679-d312-42e6-b015-3e90a25c80b2
LEGO STAR WARS INQUISITOR TRANSPORT SCYTH 75336,23,2024-04-22,85.0,120.0,102.85,$75.00,$15.51,$85.22,https://quickchart.io/chart/render/sf-8b268a42-8754-4253-a915-9f51f44279b9
LEGO STAR WARS LUKE SKYWALKER RED FIVE HELMET SET 75327,22,2024-04-17,60.34,81.38,73.23,$75.00,$-10.56,$85.23,https://quickchart.io/chart/render/sf-7dbec236-a9c1-4d00-904d-1fab2ddd1517
LEGO STAR WARS REPUBLIC FIGHTER TANK 75342,20,2024-04-23,39.99,84.99,53.16,$50.00,$-3.22,$56.82,https://quickchart.io/chart/render/sf-daf227c7-341b-4e1e-9b08-45defc0c93f9
LEGO STAR WARS THE ARMORER 75319 BUILDING KIT,23,2024-04-22,43.44,65.0,49.58,$30.00,$13.63,$34.09,https://quickchart.io/chart/render/sf-1da15037-402e-42a1-aab2-7558f99951eb
LEGO STAR WARS TIE FIGHTER PILOT HELMET BUILDING KIT 75274,13,2024-04-19,242.11,560.0,324.99,$75.00,$210.99,$85.22,https://quickchart.io/chart/render/sf-527c2255-6596-44c0-bd61-628bb803bb12
MARVEL SUPER HEROES 2 PLAYER COUNTERCADE,17,2024-04-09,147.5,269.99,225.16,$120.00,$78.14,$136.36,https://quickchart.io/chart/render/sf-e40fefa8-177c-412c-afa6-a2bbf654cb61
MARVEL UPPER DECK METAL TRADING CARD BLASTER BOX,11,2024-04-21,28.99,90.24,41.92,$40.00,$-3.11,$45.46,https://quickchart.io/chart/render/sf-52542630-632f-41a0-9e5d-26bff530ab85
MCFARLANE DC MULTIVERSE THE FLASH MOVIE ACTION FIGURE - BATMAN,9,2024-04-22,23.59,42.95,30.94,$30.00,$-2.77,$34.10,https://quickchart.io/chart/render/sf-6de77582-f171-46f5-9de7-22f5806f7f70
MCFARLANE TOYS DC MULTIVERSE THE FLASH BATMOBILE TOY,15,2024-03-23,59.99,89.99,72.9,$70.00,$-5.85,$79.55,https://quickchart.io/chart/render/sf-cff5527a-c7a8-407c-8095-d48437d83aad
MONOPOLY PRIZM NBA EDITION GAME,24,2024-04-22,22.99,59.99,30.51,$45.00,$-18.15,$51.14,https://quickchart.io/chart/render/sf-ca636c52-6663-4a16-ad96-457df5c9f9c8
MONOPOLY PRIZM: 2022-23 NBA CARDS BOOSTER BOX GAME,9,2024-04-20,22.99,44.0,35.32,$35.00,$-3.92,$39.78,https://quickchart.io/chart/render/sf-da24fc0f-5dd2-4101-9936-3b4fa7fe281b
MONSTER HIGH DOLL DRAMA DRACULAURA,18,2024-04-22,88.0,149.99,109.32,$35.00,$61.20,$39.77,https://quickchart.io/chart/render/sf-f9444efd-8c6f-49f1-9155-ef2b44507dcc
MORTAL KOMBAT 1 KOLLECTOR'S EDITION - PS5,9,2024-04-07,142.0,220.0,168.32,$300.00,$-151.88,$340.91,https://quickchart.io/chart/render/sf-51366e3e-7f3a-43ec-8693-227739010f56
MORTAL KOMBAT 1 KOLLECTOR'S EDITION - XBOX SERIES X,26,2024-04-22,24.5,44.99,29.97,$300.00,$-273.63,$340.91,https://quickchart.io/chart/render/sf-f804865b-36e4-4e1b-ae5b-fd4321283ee2
NINTENDO SUPER SMASH BROS AMIIBO FIGURE - SORA KINGDOM HEARTS,22,2024-04-22,22.5,29.99,26.47,$30.00,$-6.71,$34.10,https://quickchart.io/chart/render/sf-e3682339-c29c-4f03-b33a-abdd1033e6d2
NINTENDO SWITCH OLED LEGEND OF ZELDA EDITION,23,2024-04-22,289.99,405.0,316.8,$400.00,$-121.22,$454.55,https://quickchart.io/chart/render/sf-7ad09454-c519-47f7-bf59-6e7f78d1984b
NINTENDO SWITCH OLED POKEMON SCARLET AND VIOLET EDITION,10,2024-04-22,304.77,449.97,351.44,$375.00,$-65.73,$426.14,https://quickchart.io/chart/render/sf-07aa5422-8ed1-4211-a93d-3bf9e8fe1d80
NINTENDO SWITCH PRO CONTROLLER - LEGEND OF ZELDA TEARS OF THE KINGDOM EDITION,19,2024-04-21,51.99,112.5,75.75,$90.00,$-23.34,$102.28,https://quickchart.io/chart/render/sf-b829e5d8-cd19-4589-899c-080ce74d254a
NINTENDO XENOBLADE CHRONICLES 3 SERIES AMIIBO FIGURES NOAH MIO 2 PACK,20,2024-04-22,32.85,49.99,38.47,$50.00,$-16.15,$56.82,https://quickchart.io/chart/render/sf-ddca17a1-2e36-4722-8b6e-a0bba82ac4a3
ONE PIECE THETHREE BROTHERS ULTRA STARTER DECK ST-13,15,2024-04-22,49.95,120.0,64.38,$65.00,$-8.35,$73.87,https://quickchart.io/chart/render/sf-ce7e0a7e-049d-427e-b364-f2805752ec19
OWALA 24 OZ VALENTINES DAY XOXO STAINLESS STEEL FREESIP WATER BOTTLE - PINK,21,2024-04-17,38.88,54.99,42.16,$35.00,$2.10,$39.77,https://quickchart.io/chart/render/sf-d9b17a9b-3089-4b1c-8cad-30cac355db76
OWALA 40 OZ STAINLESS STEEL TUMBLER - MARINE,18,2024-04-22,18.99,34.0,22.88,$40.00,$-19.87,$45.46,https://quickchart.io/chart/render/sf-90badb76-2f62-481f-9794-5b6c530ac6be
OWALA 40 OZ STAINLESS STEEL TUMBLER - NEO MINIMAL,17,2024-04-22,22.99,39.99,28.05,$40.00,$-15.32,$45.46,https://quickchart.io/chart/render/sf-ff296d83-5351-4c44-aaff-eb1152c94c32
OWALA 40 OZ STAINLESS STEEL TUMBLER - PERIWINKLE,19,2024-04-22,22.0,39.99,27.5,$40.00,$-15.80,$45.46,https://quickchart.io/chart/render/sf-61d85055-282a-44ea-bb73-c9072f8ce135
OWALA 40 OZ STAINLESS STEEL TUMBLER - VERY / VERY DARK,19,2024-04-22,19.99,39.99,26.95,$40.00,$-16.28,$45.46,https://quickchart.io/chart/render/sf-53da1d56-1730-4ef2-a1ee-9a88a9fe3d4d
PLAYSTATION 5 CONSOLE COVERS - MARVEL SPIDER MAN 2 LIMITED EDITION,12,2024-04-20,140.0,204.99,174.69,$80.00,$73.73,$90.90,https://quickchart.io/chart/render/sf-b2025170-5836-44f7-b707-1b7b747ae5ac
PLAYSTATION DUALSENSE WIRELESS CONTROLLER - SPIDER MAN 2 LIMITED EDITION,24,2024-04-23,125.0,289.99,151.85,$100.00,$33.63,$113.63,https://quickchart.io/chart/render/sf-80cc9cf6-9f11-4c19-86fd-4b027123fdb5
POKEMON CARD GAME: SCARLET VIOLET S2 PALDEA EVOLVED 36 CT DISPLAY BOX,4,2024-04-21,109.64,121.89,115.82,$110.00,$-8.08,$125.00,https://quickchart.io/chart/render/sf-53872665-81bb-476b-afe4-f56de8d3e76b
POKEMON POK SCARLET VIOLET S3.5 BOOSTER BUNDLE BOX,5,2024-04-22,69.99,356.25,270.21,$35.00,$202.78,$39.77,https://quickchart.io/chart/render/sf-7b2f0dd1-cd89-49db-99d3-73bb68ce35bf
POKEMON TRADING CARD GAME: ORBEETLE V BOX,19,2024-04-17,13.99,65.59,25.1,$20.00,$2.09,$22.72,https://quickchart.io/chart/render/sf-2d0b95ab-eadb-4546-bba9-ca39d8133c27
PULSE EXPLORE WIRELESS EARBUDS,18,2024-04-23,139.99,289.95,177.34,$250.00,$-93.94,$284.10,https://quickchart.io/chart/render/sf-b3b73751-729b-42a4-8c67-1655e4ca2a19
RAVENSBURGER DISNEY LORCANA BOOSTER PACK - 24 COUNT,7,2024-03-11,219.95,299.95,245.41,$150.00,$65.96,$170.45,https://quickchart.io/chart/render/sf-02fa6967-b685-4674-996c-52174f9a4e37
RAVENSBURGER DISNEY LORCANA D100 COLLECTORS EDITION TCG GIFT SET,20,2024-04-22,52.99,90.0,61.22,$200.00,$-146.13,$227.28,https://quickchart.io/chart/render/sf-13a759a3-76a3-488a-98c3-34d683e06cc3
RAVENSBURGER DISNEY LORCANA FIRST CHAPTER TCG GIFT SET,15,2024-04-18,58.0,200.0,95.84,$60.00,$24.34,$68.18,https://quickchart.io/chart/render/sf-3806e4fb-f4c4-4232-8451-0ceccaa97201
RAVENSBURGER DISNEY LORCANA MALEFICENT PLAYMAT,13,2024-04-22,74.99,197.28,121.86,$30.00,$77.24,$34.09,https://quickchart.io/chart/render/sf-0f49e819-0c06-43db-9eca-be00f31bf9c6
RAVENSBURGER DISNEY LORCANA MAUI PLAYMAT,17,2024-04-19,52.0,99.99,74.35,$30.00,$35.43,$34.09,https://quickchart.io/chart/render/sf-7257b6d0-80c1-47a8-8c53-71e0d0ecc324
RAVENSBURGER DISNEY LORCANA MICKEY MOUSE PLAYMAT,13,2024-04-22,74.99,197.28,121.86,$30.00,$77.24,$34.09,https://quickchart.io/chart/render/sf-3e37941c-04c2-49a6-82da-7a2de0852d6c
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TCG BOOSTER BOX - 24 COUNT,19,2024-04-17,117.99,134.99,124.62,$150.00,$-40.33,$170.46,https://quickchart.io/chart/render/sf-6b7bdea1-5d33-4ecb-b5b3-6bdbdbb117ea
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TROVE,22,2024-04-22,56.81,143.99,75.5,$200.00,$-133.56,$227.28,https://quickchart.io/chart/render/sf-413bd6f8-d105-496b-b6d0-8769e83fe050
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK AMBER AMETHYST,19,2024-04-20,17.95,25.07,20.27,$30.00,$-12.16,$34.10,https://quickchart.io/chart/render/sf-56468799-bc5e-4109-85c8-b317900e2cd5
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK RUBY EMERALD,16,2024-04-17,14.99,26.0,19.64,$30.00,$-12.72,$34.10,https://quickchart.io/chart/render/sf-4511b764-5587-402f-beeb-062082537800
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK SAPPHIRE STEEL,19,2024-04-19,17.26,44.0,22.4,$30.00,$-10.29,$34.10,https://quickchart.io/chart/render/sf-775b102e-6b05-40bd-af6e-75fa7c52d92b
RAVENSBURGER DISNEY LORCANA TROVE SET,9,2024-04-20,50.0,137.99,79.36,$60.00,$9.84,$68.18,https://quickchart.io/chart/render/sf-4622858b-7bcc-4d25-8368-f06683d2ce60
SONY PLAYSTATION 5 DIGITAL,9,2024-04-22,320.0,529.0,406.46,$600.00,$-242.32,$681.82,https://quickchart.io/chart/render/sf-a0731b4b-3072-42f5-b262-b176bf5e431c
SONY PLAYSTATION 5 DIGITAL GOD OF WAR BUNDLE,20,2024-04-22,250.0,700.0,393.66,$550.00,$-203.58,$625.01,https://quickchart.io/chart/render/sf-887519b7-c64a-4650-acd5-c3ec31d721b0
SONY PLAYSTATION 5 DISC,13,2024-04-23,340.0,589.99,415.38,$600.00,$-234.47,$681.82,https://quickchart.io/chart/render/sf-67736c4b-ee4b-4829-a136-de910fbf2437
SONY PLAYSTATION 5 DISC GOD OF WAR BUNDLE,12,2024-04-17,425.0,564.49,493.65,$650.00,$-215.59,$738.64,https://quickchart.io/chart/render/sf-1883f1b1-a8f4-47e2-b458-a1e6235a2089
SONY PLAYSTATION PORTAL REMOTE PLAYER - PS5,16,2024-04-23,199.0,279.99,245.23,$250.00,$-34.20,$284.10,https://quickchart.io/chart/render/sf-ba6c7bcc-6338-422d-bf87-6418d0a05a2d
SONY PS5 DIGITAL HORIZON FORBIDDEN WEST BUNDLE,6,2024-04-22,478.95,579.99,532.98,$500.00,$-30.98,$568.19,https://quickchart.io/chart/render/sf-11da233a-4991-4f2a-83ba-f10ac146de4a
SQUISHMALLOW POKEMON 14 PIKACHU PLUSH,7,2024-04-21,19.63,26.99,23.69,$40.00,$-19.15,$45.46,https://quickchart.io/chart/render/sf-bc4485e7-3ff0-4764-b842-cab5261c33e0
SQUISHMALLOW POKEMON 20 GENGAR PLUSH,12,2024-04-21,55.0,89.99,65.31,$55.00,$2.47,$62.50,https://quickchart.io/chart/render/sf-275ba52b-cc26-4bc7-a88e-9436387cbb80
SQUISHMALLOW POKEMON 20 PIKACHU PLUSH,11,2024-04-18,34.99,79.95,47.81,$55.00,$-12.93,$62.51,https://quickchart.io/chart/render/sf-564f32f9-e3c9-4350-a9aa-b9385d0acec7
SQUISHMALLOW POKEMON 20 SNORLAX PLUSH,13,2024-04-12,45.0,175.0,98.14,$50.00,$36.36,$56.81,https://quickchart.io/chart/render/sf-b28ef2b2-229f-4e77-b64d-d676f22f909c
SQUISHMALLOW POKEMON 20 TOGEPI PLUSH,17,2024-04-22,39.95,150.0,67.9,$50.00,$9.75,$56.81,https://quickchart.io/chart/render/sf-7fa29758-d24c-404c-83b5-6afeaade7161
SQUISHMALLOWS SQUISHVILLE 2 HOLIDAY CALENDAR PLUSH - 24 PACK,11,2024-04-15,21.49,100.0,49.86,$75.00,$-31.12,$85.23,https://quickchart.io/chart/render/sf-e5db6a38-50e2-41b6-8a8d-17db3d33ed50
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - ALPINE BEIGE,9,2024-04-16,26.99,49.95,34.88,$35.00,$-4.31,$39.78,https://quickchart.io/chart/render/sf-8c8d7d6f-a942-4fb2-8fec-6fd6e1ae2b30
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - FLAWLESS PINK,9,2024-04-13,29.99,90.0,49.99,$35.00,$8.99,$39.77,https://quickchart.io/chart/render/sf-c5078f40-0edd-4caf-b534-d0d316b3867a
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - PERIWINKLE ENVY,8,2024-04-16,29.99,90.0,43.37,$35.00,$3.17,$39.77,https://quickchart.io/chart/render/sf-6442e8cb-731a-47a9-94b4-599d4f61af46
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - PURPLE GLARE,11,2024-04-20,25.0,49.95,32.63,$35.00,$-6.29,$39.78,https://quickchart.io/chart/render/sf-6a996765-8bbf-4efa-b116-0eade2af0995
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - RAVISHING PINK,10,2024-04-16,32.96,90.0,54.16,$35.00,$12.66,$39.77,https://quickchart.io/chart/render/sf-eca12e28-281d-4b0a-8996-6601602ed7d9
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - STARLESS NIGHT BLUE,7,2024-04-16,26.99,90.0,44.28,$35.00,$3.97,$39.77,https://quickchart.io/chart/render/sf-f57be7ad-018b-4616-8d53-4cd7dff43020
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - TACTFUL TEAL,9,2024-04-16,29.99,69.79,43.53,$35.00,$3.31,$39.77,https://quickchart.io/chart/render/sf-6fe229e2-f99b-4b0d-b528-3c3ab9ae688f
STANLEY ADVENTURE QUENCHER TRAVEL TUMBLER 30 OZ - TRUE WHITE,9,2024-04-16,29.99,49.95,37.99,$35.00,$-1.57,$39.78,https://quickchart.io/chart/render/sf-bfb8ffd0-4edb-49be-a07f-99bb87b7ffc0
