searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
MCFARLANE TOYS DC MULTIVERSE THE FLASH BATMOBILE TOY,13,2024-04-24,59.99,89.99,72.08,$70.00,$-6.57,$79.55,https://quickchart.io/chart/render/sf-1339ebfc-5b5b-4b7c-9da1-39b39535b806
MONOPOLY PRIZM NBA EDITION GAME,24,2024-04-27,21.97,59.99,29.76,$45.00,$-18.81,$51.14,https://quickchart.io/chart/render/sf-ae4791bc-89ba-405f-b53a-accc286bff88
MONOPOLY PRIZM 202223 NBA CARDS BOOSTER BOX GAME,19,2024-04-26,28.99,60.0,37.63,$35.00,$-1.89,$39.78,https://quickchart.io/chart/render/sf-edbc1b34-1b45-49ae-975f-96910d7193dc
MONSTER HIGH DOLL DRAMA DRACULAURA,20,2024-04-27,88.0,149.99,109.3,$35.00,$61.18,$39.77,https://quickchart.io/chart/render/sf-0237f970-81a3-4cb0-ab3b-c90ee407b506
MORTAL KOMBAT 1 KOLLECTOR'S EDITION  PS5,9,2024-04-07,142.0,220.0,168.32,$300.00,$-151.88,$340.91,https://quickchart.io/chart/render/sf-c67c8259-6221-4a89-b29b-be78726d20d6
MORTAL KOMBAT 1 KOLLECTOR'S EDITION  XBOX SERIES X,24,2024-04-27,22.95,58.99,31.18,$300.00,$-272.56,$340.91,https://quickchart.io/chart/render/sf-50d1a052-9bba-4fdc-8363-5b2273dedec8
NINTENDO SUPER SMASH BROS AMIIBO FIGURE  SORA KINGDOM HEARTS,22,2024-04-26,22.5,34.99,26.56,$30.00,$-6.63,$34.10,https://quickchart.io/chart/render/sf-3140ae79-867b-47a0-85b5-aafefe3276bc
NINTENDO SWITCH OLED LEGEND OF ZELDA EDITION,22,2024-04-27,289.99,449.49,324.95,$400.00,$-114.04,$454.55,https://quickchart.io/chart/render/sf-8386efe8-efe6-4cd9-8e49-af9a6694cf1e
NINTENDO SWITCH OLED POKEMON SCARLET AND VIOLET EDITION,16,2024-04-27,288.0,419.99,344.43,$375.00,$-71.90,$426.14,https://quickchart.io/chart/render/sf-709eb9cb-e072-472e-b33f-7eccbff0bc8a
NINTENDO SWITCH PRO CONTROLLER  LEGEND OF ZELDA TEARS OF THE KINGDOM EDITION,17,2024-04-27,59.99,112.5,79.59,$90.00,$-19.96,$102.28,https://quickchart.io/chart/render/sf-f4a46cea-4839-49ed-ac1c-444d8471fd99
NINTENDO XENOBLADE CHRONICLES 3 SERIES AMIIBO FIGURES NOAH MIO 2 PACK,21,2024-04-25,31.95,49.99,36.57,$50.00,$-17.82,$56.82,https://quickchart.io/chart/render/sf-c31e0ae5-9ab9-401c-825d-c72c41156774
ONE PIECE THETHREE BROTHERS ULTRA STARTER DECK ST13,8,2024-04-27,41.99,69.31,53.98,$65.00,$-17.50,$73.87,https://quickchart.io/chart/render/sf-79570c87-3706-4bff-8643-ddc6df5549aa
OWALA 24 OZ VALENTINES DAY XOXO STAINLESS STEEL FREESIP WATER BOTTLE  PINK,19,2024-04-27,38.88,83.88,43.96,$35.00,$3.68,$39.77,https://quickchart.io/chart/render/sf-9ef6a6d6-f94e-403c-a8bc-68ba39bfcac4
OWALA 40 OZ STAINLESS STEEL TUMBLER  MARINE,14,2024-04-27,22.99,35.99,27.13,$40.00,$-16.13,$45.46,https://quickchart.io/chart/render/sf-26b6f11f-5c77-42c9-9ee3-df614cfb53b9
OWALA 40 OZ STAINLESS STEEL TUMBLER  NEO MINIMAL,17,2024-04-27,22.99,39.99,28.4,$40.00,$-15.01,$45.46,https://quickchart.io/chart/render/sf-8bd32b0e-33d3-4793-8c37-a399e3a9a5f8
OWALA 40 OZ STAINLESS STEEL TUMBLER  PERIWINKLE,19,2024-04-27,22.99,39.99,28.45,$40.00,$-14.96,$45.46,https://quickchart.io/chart/render/sf-437651a9-a39b-4376-ac01-34c8784dff22
OWALA 40 OZ STAINLESS STEEL TUMBLER  VERY  VERY DARK,18,2024-04-27,19.99,39.99,27.22,$40.00,$-16.05,$45.46,https://quickchart.io/chart/render/sf-ff536d25-87e7-4ac3-9475-d611b9f4c558
PLAYSTATION 5 CONSOLE COVERS  MARVEL SPIDER MAN 2 LIMITED EDITION,13,2024-04-26,140.0,204.99,172.79,$80.00,$72.06,$90.90,https://quickchart.io/chart/render/sf-b316e735-30a4-47d8-8795-0afd992d1893
PLAYSTATION DUALSENSE WIRELESS CONTROLLER  SPIDER MAN 2 LIMITED EDITION,22,2024-04-27,125.0,289.99,153.66,$100.00,$35.22,$113.63,https://quickchart.io/chart/render/sf-ca4ea338-6304-46e6-bcde-e9268a90e994
POKEMON CARD GAME SCARLET VIOLET S2 PALDEA EVOLVED 36 CT DISPLAY BOX,3,2024-04-21,112.14,150.65,127.59,$110.00,$2.28,$125.00,https://quickchart.io/chart/render/sf-b052fb3c-7f87-4262-9c09-9cbe0c6887ec
POKEMON POK SCARLET VIOLET S35 BOOSTER BUNDLE BOX,5,2024-04-25,69.99,356.25,266.21,$35.00,$199.26,$39.77,https://quickchart.io/chart/render/sf-ebdaf368-9b09-4eb9-9f27-e9deb619f433
POKEMON TRADING CARD GAME ORBEETLE V BOX,15,2024-04-26,16.32,65.59,28.6,$20.00,$5.17,$22.72,https://quickchart.io/chart/render/sf-9389fbec-6267-4f36-aaa9-e113b1ac4cc3
PULSE EXPLORE WIRELESS EARBUDS,19,2024-04-27,135.85,279.99,166.71,$250.00,$-103.30,$284.10,https://quickchart.io/chart/render/sf-6096614f-9965-4e1c-81b1-2d8034c6f7fb
RAVENSBURGER DISNEY LORCANA BOOSTER PACK  24 COUNT,12,2024-04-26,214.0,374.99,247.48,$150.00,$67.78,$170.45,https://quickchart.io/chart/render/sf-b8be4499-28ba-48a1-9d2a-8b2dd06cf553
RAVENSBURGER DISNEY LORCANA D100 COLLECTORS EDITION TCG GIFT SET,21,2024-04-27,52.99,90.0,60.63,$200.00,$-146.65,$227.28,https://quickchart.io/chart/render/sf-f3aa4738-dc89-44ee-916d-d31594ac5aa2
RAVENSBURGER DISNEY LORCANA FIRST CHAPTER TCG GIFT SET,11,2024-04-24,70.97,300.0,141.8,$60.00,$64.78,$68.18,https://quickchart.io/chart/render/sf-267c9e97-aca9-4d79-a5a8-72c0be8cc4b0
RAVENSBURGER DISNEY LORCANA MALEFICENT PLAYMAT,14,2024-04-25,74.99,199.36,117.06,$30.00,$73.01,$34.09,https://quickchart.io/chart/render/sf-ad734f3b-5b62-4609-9715-589314567103
RAVENSBURGER DISNEY LORCANA MAUI PLAYMAT,16,2024-04-26,59.88,119.99,84.36,$30.00,$44.24,$34.09,https://quickchart.io/chart/render/sf-eebf2d5e-0892-4589-bc32-3870ae3d248f
RAVENSBURGER DISNEY LORCANA MICKEY MOUSE PLAYMAT,14,2024-04-26,54.95,139.99,101.02,$30.00,$58.90,$34.09,https://quickchart.io/chart/render/sf-f28ef8eb-2721-416c-950b-b23be6096556
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TCG BOOSTER BOX  24 COUNT,19,2024-04-17,117.99,134.99,124.62,$150.00,$-40.33,$170.46,https://quickchart.io/chart/render/sf-092956b3-b8dc-49aa-9136-6ce14d439d95
RAVENSBURGER DISNEY LORCANA RISE OF THE FLOODBORN TROVE,23,2024-04-27,57.41,143.99,74.9,$200.00,$-134.09,$227.28,https://quickchart.io/chart/render/sf-d8861cfd-f569-4b3f-82b9-b5a229e33857
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK AMBER AMETHYST,19,2024-04-18,16.95,25.07,19.96,$30.00,$-12.44,$34.10,https://quickchart.io/chart/render/sf-7129df07-64d1-4832-bdd4-4472577532e3
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK RUBY EMERALD,18,2024-04-25,13.99,26.0,18.63,$30.00,$-13.61,$34.10,https://quickchart.io/chart/render/sf-84c47f71-b2e0-46e5-a77e-3bb921d49ed8
RAVENSBURGER DISNEY LORCANA THE FIRST CHAPTER STARTER DECK SAPPHIRE STEEL,19,2024-04-25,17.45,44.0,23.23,$30.00,$-9.56,$34.10,https://quickchart.io/chart/render/sf-9ba8894b-55e5-4a43-82da-617bec84fb18
RAVENSBURGER DISNEY LORCANA TROVE SET,9,2024-04-20,50.0,137.99,79.44,$60.00,$9.91,$68.18,https://quickchart.io/chart/render/sf-aa087643-a2fd-40de-a1a5-7a3b9e0700f6
SONY PLAYSTATION 5 DIGITAL,8,2024-04-27,349.95,519.0,412.72,$600.00,$-236.81,$681.82,https://quickchart.io/chart/render/sf-802d01de-0d59-4087-b3c2-dc438f9e7f7b
SONY PLAYSTATION 5 DIGITAL GOD OF WAR BUNDLE,21,2024-04-27,250.0,700.0,392.05,$550.00,$-205.00,$625.01,https://quickchart.io/chart/render/sf-77e9cf4d-6615-4af4-9774-e59c428972df
SONY PLAYSTATION 5 DISC,11,2024-04-27,325.0,560.0,398.0,$600.00,$-249.76,$681.82,https://quickchart.io/chart/render/sf-2bc9bc39-88c6-4888-bb86-c65e2a55b006
SONY PLAYSTATION 5 DISC GOD OF WAR BUNDLE,12,2024-04-24,425.0,564.49,493.65,$650.00,$-215.59,$738.64,https://quickchart.io/chart/render/sf-e88e1110-8a9e-40ce-a95b-dbd8b92fa5fb
SONY PLAYSTATION PORTAL REMOTE PLAYER  PS5,8,2024-04-27,149.95,287.94,235.32,$250.00,$-42.92,$284.10,https://quickchart.io/chart/render/sf-e881a598-84a0-4490-baf2-56397b5808f2
SONY PS5 DIGITAL HORIZON FORBIDDEN WEST BUNDLE,6,2024-04-22,455.0,579.99,525.49,$500.00,$-37.57,$568.19,https://quickchart.io/chart/render/sf-31ef443b-ba74-4d67-9063-15ae63b2acf7
SQUISHMALLOW POKEMON 14 PIKACHU PLUSH,7,2024-04-21,19.63,26.99,23.69,$40.00,$-19.15,$45.46,https://quickchart.io/chart/render/sf-7eb76933-8836-4a84-87f3-087a4f202aa7
SQUISHMALLOW POKEMON 20 GENGAR PLUSH,13,2024-04-26,49.99,89.99,64.53,$55.00,$1.79,$62.49,https://quickchart.io/chart/render/sf-aa492d06-5de3-48c7-844b-06a22e0a7d41
SQUISHMALLOW POKEMON 20 PIKACHU PLUSH,12,2024-04-25,34.99,79.95,47.57,$55.00,$-13.14,$62.51,https://quickchart.io/chart/render/sf-7a3c6c91-f283-4b07-a73d-56c40bac1a08
SQUISHMALLOW POKEMON 20 SNORLAX PLUSH,13,2024-04-12,39.99,175.0,89.75,$50.00,$28.98,$56.81,https://quickchart.io/chart/render/sf-f7b86db6-314b-452a-8b9c-5ed9e5fbb523
SQUISHMALLOW POKEMON 20 TOGEPI PLUSH,16,2024-04-22,39.95,150.0,69.64,$50.00,$11.28,$56.81,https://quickchart.io/chart/render/sf-c76f2730-434d-404d-ac6d-b14a4a598000
SQUISHMALLOWS SQUISHVILLE 2 HOLIDAY CALENDAR PLUSH  24 PACK,13,2024-04-15,18.99,69.0,33.64,$75.00,$-45.40,$85.23,https://quickchart.io/chart/render/sf-bf0db0a7-e041-4411-b598-7f3814543d74
