searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
rlc exclusive 2020 convention 70 mustang boss 302 glh81,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2020_convention_70_mustang_boss_302_glh81.html,8,76.0,99.99,87.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d4ab8fde-4503-4874-ad49-0adf372a3044
rlc exclusive 2006 bmw m3 gxj28,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2006_bmw_m3_gxj28.html,23,50.0,69.99,54.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-31ac6543-4b64-4624-a8c5-d24e6f847b52
rlc exclusive 1962 ford f100 gxj18,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1962_ford_f100_gxj18.html,27,33.0,69.52,42.94,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-30ec1fd9-cde8-4b69-8e24-a8491c652a2b
hwc special editions thunder roller gxj26,https://streamline1175.github.io/130-Search-Results/hwc_special_editions_thunder_roller_gxj26.html,10,52.0,84.95,60.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85c3cc06-fce4-497b-90d4-dbe1c45c48f6
rlc exclusive 1990 chevy 454 ss hgk80,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1990_chevy_454_ss_hgk80.html,21,65.0,79.99,71.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fde92e8c-d5ca-4884-bc8d-d3764b56aba4
matchbox porsche 911 rsr hjw63,https://streamline1175.github.io/130-Search-Results/matchbox_porsche_911_rsr_hjw63.html,9,32.77,42.98,37.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e74da0de-31d0-4903-9e53-d38c0fcaf915
rlc exclusive selections 1972 nissan skyline ht 2000gt r hnl30,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_selections_1972_nissan_skyline_ht_2000gt_r_hnl30.html,19,33.0,64.0,41.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2a8b4ed4-f776-4e50-8e67-07316587d514
rlc exclusive nissan skyline gt r hgk73,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_nissan_skyline_gt_r_hgk73.html,11,112.5,130.0,122.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4fc229dc-db3c-45d4-80b7-2cef9d1029b9
rlc exclusive 1986 porsche 959 hgk85,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1986_porsche_959_hgk85.html,9,37.5,49.94,43.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d9684225-01fa-4036-94c7-2bc2b4763545
rlc exclusive 1969 chevy camaro ss hnl21,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1969_chevy_camaro_ss_hnl21.html,39,33.19,78.0,41.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cb32cb18-c40d-44d7-9582-f4aa6560de0b
rlc exclusive 1995 honda integra type r hmy22,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1995_honda_integra_type_r_hmy22.html,41,47.0,64.99,52.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5662dd4-6cab-497b-96e4-9fe101784cfd
rlc exclusive magnus walker urban outlaw porsche 964 hnl26,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_magnus_walker_urban_outlaw_porsche_964_hnl26.html,42,44.0,63.99,49.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3928f8d9-732a-493d-94d5-aac37c3080ba
rlc exclusive pink editions nissan skyline gt r hnl06,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_pink_editions_nissan_skyline_gt_r_hnl06.html,24,77.0,102.99,82.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2fcdf095-cc79-43b8-951d-b855596eb807
hwc special edition 64 impala glh86,https://streamline1175.github.io/130-Search-Results/hwc_special_edition_64_impala_glh86.html,5,117.5,180.0,151.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e7d26533-48bf-49de-bd3a-cf34b35e7e10
rlc exclusive 1969 chevy c 10 glh94,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1969_chevy_c_10_glh94.html,17,38.0,103.5,62.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-74e0a96f-5ba5-4111-bc50-9be8a6ffd1ce
nissan skyline gt r glh90,https://streamline1175.github.io/130-Search-Results/nissan_skyline_gt_r_glh90.html,28,29.5,247.5,76.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-523a63c9-d437-42c3-9d02-8506a7d69051
rlc exclusive rwb porsche 930 w akira nakai figurine,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_rwb_porsche_930_w_akira_nakai_figurine.html,7,290.0,330.0,305.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-38188bea-f1d7-4d91-af54-fb3f976dbb9c
rlc exclusive lamborghini countach lp500 s,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_lamborghini_countach_lp500_s.html,13,63.21,179.99,149.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e72c55c5-d9be-42ef-822c-ecd5f9c0edb2
evan mock hot wheels toyota pickup north shore edition hhg50,https://streamline1175.github.io/130-Search-Results/evan_mock_hot_wheels_toyota_pickup_north_shore_edition_hhg50.html,4,170.0,180.0,176.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-95716462-fc25-4455-9fbc-3d2e3a8a47ef
rlc exclusive 1991 bmw m3 gxj17,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_1991_bmw_m3_gxj17.html,36,55.0,119.99,73.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-da81b259-6fc4-4334-814e-35c093ac28f1
hwc special editions 17 ford raptor hck31,https://streamline1175.github.io/130-Search-Results/hwc_special_editions_17_ford_raptor_hck31.html,2,59.99,64.99,62.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-67c15eb7-fde9-4156-b1c7-3c381e20671e
