searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2022 premium collector set 2 exotic hypercars gmh39k,5,19.99,49.97,29.94,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-24b5a191-93b0-4d7d-8b1d-abe4ccb818da
2022 premium collector set 3 bmw m team gmh39l,12,30.0,68.22,42.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5431a8cf-bca7-4018-8027-a89688aefd86
2022 rlc membership 72 nissan skyline h t 2000 gt r,13,37.99,59.99,46.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e3460715-f535-43be-92b6-bf89689121bd
barbie birthday wishes doll hjx02,32,29.99,100.0,50.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-47d429c0-7177-4d3d-bee2-1720b99ec616
2023 barbie lunar new year doll hjx35,9,69.99,110.0,86.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5659bf86-79a7-495f-8fd9-76fdaa201b7d
2023 barbie lunar new year doll designed by guo pei hjx03,9,98.0,139.99,108.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-95722470-0780-42ed-a759-2c8b3783f74b
2023 dia de muertos barbie doll hjx14,20,89.99,250.0,207.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4a1bd81c-8b4d-4c1c-935e-f487823684d3
2023 dia de muertos barbie x pink magnolia doll hjx16,15,224.99,250.0,241.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-18de2848-1024-4c89-8606-97c2a30a39b9
2023 dia de muertos ken doll hjx15,14,49.79,194.78,92.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c80222d6-d162-48ef-813f-89800b9e32ca
2023 holiday barbie doll hjx09,40,39.95,95.0,55.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f49b1e5f-2e97-43c3-a3a6-ff2cd677e666
2023 holiday barbie doll hjx11,35,42.99,150.0,66.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-50b5491a-1eeb-4860-a248-2d1a00448918
2023 holiday barbie doll hjx08,37,41.99,150.0,65.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aa97f2fc-1abc-4770-9bca-7df5f3e68930
2023 holiday barbie doll hjx10,38,42.99,130.0,64.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3329a0b5-28b2-4f17-ba23-705af88fb9cb
2023 rlc membership 93 ford cobra r hwrlc2023,26,27.99,45.0,32.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-921a0f0b-3cf4-4ab7-beb4-39f34903f69b
2023 rlc membership 93 ford cobra r hnl15,37,20.0,48.99,32.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d4aee400-b939-41b7-a9d7-63d2d907dbc5
2023 12 days of christmas barbie doll hjx13,10,129.2,227.24,190.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5ce8e9b-abb1-4844-891c-6c371f30cc04
2024 barbie lunar new year doll hrm57,9,64.5,109.59,74.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-674a09e4-8d3d-4f47-93e0-d0cd56c0b340
55 chevy panel hrx25,27,34.99,99.99,66.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e9cbf5c1-7bec-425a-8cb4-b7ea1d57adea
60th anniversary allan vintage reproduction doll hrm87,21,83.94,110.0,92.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-923825ea-1e7e-4a4d-8232-96994269ef20
60th anniversary midge vintage reproduction doll hjx25,15,75.0,149.69,98.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fbc7898a-53cb-401e-a3da-4f039bcc00b9
64 gmc panel hxn07,25,20.99,109.99,68.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-08ea542b-27a7-41ca-a3d9-01af7828651e
