searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Rapid Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rapid_Strike_Master_Japanese_Booster_Box.html,9,173.24,376.0,235.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-802d19e2-6e7a-4386-afcc-43eb4fa71bd3
Single Strike Master Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Single_Strike_Master_Japanese_Booster_Box.html,12,159.99,376.0,243.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-066472e4-beea-4ead-ac3b-afde7d628bb1
Shiny Star V Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Star_V_Japanese_Booster_Box.html,40,72.0,700.0,129.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-049986a3-5bba-47f8-97d4-53c4a5157c92
Amazing Volt Tackle Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Amazing_Volt_Tackle_Japanese_Booster_Box.html,6,109.99,142.97,127.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3e94c851-a1f2-4238-9ebd-507d6cd8764a
Legendary Heartbeat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Legendary_Heartbeat_Japanese_Booster_Box.html,12,108.0,129.99,120.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0d587240-e9ce-40fd-b18a-c0e668b5d5db
Infinity Zone Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Infinity_Zone_Japanese_Booster_Box.html,59,2.25,1545.51,154.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8fc38765-cb44-4424-8012-01a22f0b8db2
Explosive Walker Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Explosive_Walker_Japanese_Booster_Box.html,59,5.5,410.0,127.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a0c1e217-a7e0-4245-97e1-90b6c8b76128
Rebellion Crash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Rebellion_Crash_Japanese_Booster_Box.html,59,5.5,1042.0,144.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f4225f07-2b13-4dc3-84e0-0bb3cb42879f
VMAX Rising Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VMAX_Rising_Japanese_Booster_Box.html,25,120.0,300.0,155.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f0ab0a0a-2f4d-48a3-afab-b67e7e5b1c30
Sword Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Sword_Japanese_Booster_Box.html,8,119.95,480.0,264.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-648e3e08-573b-4ec9-8495-8cd66ac97f5d
Shield Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shield_Japanese_Booster_Box.html,10,118.51,480.0,268.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-05fdac8e-58e3-4b72-abe6-31df849e1d81
