searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
HONEY STINGER ORGANIC ENERGY CHEWS FRUIT SMOOTHIE - PACK OF 12,10,31.99,60.0,40.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db2de500-16df-486b-89aa-22558d2dab13
ILLY CLASSIC ROAST BEANS 8.8 OUNCES - 6 PACK,9,54.01,69.99,58.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0f0c15e1-18c8-469e-bb0d-fa9b943b62a8
INNOVIA AUTOMATIC PAPER TOWEL DISPENSER TOUCHLESS,29,84.99,157.24,108.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89d4b422-f2aa-4ac5-93a8-5d211bdf60d9
JUSTIN VANILLA ALMOND BUTTER 16 OUNCE JAR - 6 PACK,1,59.98,59.98,59.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5b9774c-0be6-431e-83af-0208a1d793ab
KONOAMI TURBOGRAFX - 16 MINI,37,199.95,375.0,250.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c96576c9-3fe7-4a46-904d-a6f7cb8f2d6f
MICROSOFT AZURE KINECT DEVELOPER KIT,23,410.0,900.0,607.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1cb6343e-cf19-477e-9501-1180e703d06d
MINECRAFT VOLUME ALPHA TRANSPARENT,21,38.99,99.0,50.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c1150ec3-9433-4bab-8a75-ef57250f777a
MONOPOLY STAR WARS COMPLETE SAGA EDITION BOARD GAME,24,18.77,48.69,27.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0ed8a6b1-4fac-4b5e-b5ca-9a99e4adf758
MORTAL KOMBAT 1 KOLLECTOR'S EDITION - PS5,18,130.0,220.0,157.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e2438488-ba96-4e36-97e9-1d54d96fd3dd
MOTOROLA MA1 WIRELESS ANDROID AUTO CAR ADAPTER,44,42.0,69.99,52.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-147a0124-6ddb-4b9e-abbc-18958edada43
MSI H310 LGA 1151 MINING MOTHERBOARD,8,69.99,110.0,86.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b7989c17-70c5-4d9b-895f-911115321a4d
MSI MPG321URX QD-OLED 32 4K OLED MONITOR,5,1999.0,2699.99,2339.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ff444ddf-ee09-4834-a1fe-bb0d44e73768
NETGEAR ORBI PRO WIFI 6 ROUTER SXK50B3,18,135.0,369.99,215.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec0c311e-61dc-423f-9315-3ea2a4afd213
NINTENDO 64 CONTROLLER - NINTENDO SWITCH,22,55.0,99.99,74.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3e940f91-9abc-48e9-8b41-300bdd89c789
